split,method,pool,candidate_auc_raw,candidate_auc_calibrated,raw_episodes,raw_episodes_with_success,raw_episodes_without_success,raw_first_success_rank_mean,raw_first_success_rank_median,raw_near_miss_failure_count,raw_top1_success_recall,raw_top3_success_recall,raw_top5_success_recall,raw_top10_success_recall,raw_top30_success_recall,cal_episodes,cal_episodes_with_success,cal_episodes_without_success,cal_first_success_rank_mean,cal_first_success_rank_median,cal_near_miss_failure_count,cal_top1_success_recall,cal_top3_success_recall,cal_top5_success_recall,cal_top10_success_recall,cal_top30_success_recall
splitA_train42_44_val45_47,bce,bsl,0.6624893792847518,0.9166712345004971,300,266,34,1.6428571428571428,1.0,20,82.0,84.33333333333334,85.66666666666667,86.66666666666667,88.66666666666667,300,266,34,1.5338345864661653,1.0,22,81.33333333333333,85.0,85.33333333333334,87.0,88.66666666666667
splitA_train42_44_val45_47,bce,stateroll,0.4975002257445411,0.6864946942111971,300,235,65,3.1617021276595745,1.0,70,55.00000000000001,63.33333333333333,67.33333333333333,72.0,78.33333333333333,300,235,65,2.8595744680851065,1.0,73,54.0,64.33333333333333,68.33333333333333,74.0,78.33333333333333
splitA_train42_44_val45_47,bce,union,0.6486730886715723,0.8540074264508142,300,285,15,3.863157894736842,1.0,58,75.66666666666667,82.33333333333334,84.0,86.0,90.33333333333333,300,285,15,3.5543859649122806,1.0,39,82.0,86.0,86.33333333333333,88.0,89.66666666666666
splitA_train42_44_val45_47,bce_pairwise,bsl,0.6624893792847518,0.9138561380330632,300,266,34,1.6428571428571428,1.0,20,82.0,84.33333333333334,85.66666666666667,86.66666666666667,88.66666666666667,300,266,34,1.6090225563909775,1.0,19,82.33333333333334,84.66666666666667,85.66666666666667,86.66666666666667,88.66666666666667
splitA_train42_44_val45_47,bce_pairwise,stateroll,0.4975002257445411,0.680558602886837,300,235,65,3.1617021276595745,1.0,70,55.00000000000001,63.33333333333333,67.33333333333333,72.0,78.33333333333333,300,235,65,3.106382978723404,1.0,69,55.333333333333336,62.66666666666667,67.66666666666666,71.0,78.33333333333333
splitA_train42_44_val45_47,bce_pairwise,union,0.6486730886715723,0.8478361880890726,300,285,15,3.863157894736842,1.0,58,75.66666666666667,82.33333333333334,84.0,86.0,90.33333333333333,300,285,15,3.2526315789473683,1.0,36,83.0,86.33333333333333,87.66666666666667,88.66666666666667,91.0
splitA_train42_44_val45_47,bce_listwise,bsl,0.6624893792847518,0.9141017978753192,300,266,34,1.6428571428571428,1.0,20,82.0,84.33333333333334,85.66666666666667,86.66666666666667,88.66666666666667,300,266,34,1.3759398496240602,1.0,27,79.66666666666666,84.33333333333334,86.66666666666667,88.0,88.66666666666667
splitA_train42_44_val45_47,bce_listwise,stateroll,0.4975002257445411,0.689849723443135,300,235,65,3.1617021276595745,1.0,70,55.00000000000001,63.33333333333333,67.33333333333333,72.0,78.33333333333333,300,235,65,2.625531914893617,1.0,69,55.333333333333336,66.33333333333333,69.66666666666667,74.33333333333333,78.33333333333333
splitA_train42_44_val45_47,bce_listwise,union,0.6486730886715723,0.8547934578758638,300,285,15,3.863157894736842,1.0,58,75.66666666666667,82.33333333333334,84.0,86.0,90.33333333333333,300,285,15,3.4210526315789473,1.0,43,80.66666666666666,85.33333333333334,87.66666666666667,89.0,89.66666666666666
splitA_train42_44_val45_47,bce_preserve,bsl,0.6624893792847518,0.8741762550380934,300,266,34,1.6428571428571428,1.0,20,82.0,84.33333333333334,85.66666666666667,86.66666666666667,88.66666666666667,300,266,34,1.4210526315789473,1.0,30,78.66666666666666,85.0,86.33333333333333,87.66666666666667,88.66666666666667
