split,method,lambda,scale,top1_success,top3_success,top5_success,oracle,success_density,near_miss_count
splitA_train42_44_val45_47,raw_moda,0.0,0.0,46.0,56.00000000000001,60.0,60.0,50.0,7
splitA_train42_44_val45_47,residual_raw_cost,1.0,0.25,46.0,56.00000000000001,60.0,60.0,49.4,7
splitA_train42_44_val45_47,residual_calibrated_cost,1.0,0.25,48.0,56.00000000000001,60.0,60.0,50.2,6
splitB_train45_47_val42_44,raw_moda,0.0,0.0,46.0,56.00000000000001,60.0,60.0,50.0,7
splitB_train45_47_val42_44,residual_raw_cost,1.0,0.25,46.0,56.00000000000001,60.0,60.0,50.0,7
splitB_train45_47_val42_44,residual_calibrated_cost,1.0,0.25,50.0,56.00000000000001,57.99999999999999,60.0,49.8,5
