split,index_set,position,eval_index,bucket,raw_top1,residual_top1,raw_oracle,residual_oracle,delta_norm
splitA_train42_44_val45_47,confirm50_all50,46,2083086,both_fail,0,0,0,0,2.0124194622039795
splitA_train42_44_val45_47,confirm50_all50,47,2164264,both_fail,0,0,0,0,3.254469156265259
splitA_train42_44_val45_47,confirm50_all50,48,2263297,both_fail,0,0,0,0,3.985741376876831
splitA_train42_44_val45_47,confirm50_all50,49,2275346,both_success,1,1,1,1,2.674062728881836
splitB_train45_47_val42_44,medium20,0,201658,both_success,1,1,1,1,2.034616470336914
splitB_train45_47_val42_44,medium20,1,209212,both_success,1,1,1,1,2.3713910579681396
splitB_train45_47_val42_44,medium20,2,221573,both_success,1,1,1,1,2.5281362533569336
splitB_train45_47_val42_44,medium20,3,305422,both_fail,0,0,1,1,2.290621042251587
splitB_train45_47_val42_44,medium20,4,472617,both_success,1,1,1,1,2.9278993606567383
splitB_train45_47_val42_44,medium20,5,1015438,both_fail,0,0,0,0,2.1721270084381104
splitB_train45_47_val42_44,medium20,6,1028374,both_success,1,1,1,1,4.26951265335083
splitB_train45_47_val42_44,medium20,7,1054196,both_success,1,1,1,1,2.403081178665161
splitB_train45_47_val42_44,medium20,8,1206131,both_success,1,1,1,1,1.5939723253250122
splitB_train45_47_val42_44,medium20,9,1237230,both_fail,0,0,0,0,2.5424249172210693
splitB_train45_47_val42_44,medium20,10,1529307,both_success,1,1,1,1,1.712736964225769
splitB_train45_47_val42_44,medium20,11,1627822,both_success,1,1,1,1,1.8288261890411377
splitB_train45_47_val42_44,medium20,12,1673974,both_fail,0,0,0,0,2.8112587928771973
splitB_train45_47_val42_44,medium20,13,1715214,both_success,1,1,1,1,2.969831943511963
splitB_train45_47_val42_44,medium20,14,1775729,both_fail,0,0,1,1,2.1002533435821533
splitB_train45_47_val42_44,medium20,15,1805157,both_success,1,1,1,1,2.669126033782959
splitB_train45_47_val42_44,medium20,16,1832780,both_fail,0,0,0,0,3.0598323345184326
splitB_train45_47_val42_44,medium20,17,1962525,both_success,1,1,1,1,3.379096269607544
splitB_train45_47_val42_44,medium20,18,2005706,both_fail,0,0,0,0,2.0936083793640137
splitB_train45_47_val42_44,medium20,19,2275375,raw_fail_residual_success,0,1,1,1,1.700627326965332
splitB_train45_47_val42_44,confirm50_all50,0,150187,both_fail,0,0,0,0,2.378556251525879
splitB_train45_47_val42_44,confirm50_all50,1,159883,raw_fail_residual_success,0,1,1,1,3.7478232383728027
splitB_train45_47_val42_44,confirm50_all50,2,201656,both_success,1,1,1,1,2.2153480052948
splitB_train45_47_val42_44,confirm50_all50,3,209210,both_success,1,1,1,1,2.176438570022583
splitB_train45_47_val42_44,confirm50_all50,4,216281,both_success,1,1,1,1,1.5092663764953613
splitB_train45_47_val42_44,confirm50_all50,5,221571,both_fail,0,0,0,0,2.181216239929199
splitB_train45_47_val42_44,confirm50_all50,6,305393,both_success,1,1,1,1,1.9948954582214355
splitB_train45_47_val42_44,confirm50_all50,7,388512,both_fail,0,0,1,1,1.6794639825820923
splitB_train45_47_val42_44,confirm50_all50,8,429216,both_fail,0,0,0,0,2.157891273498535
splitB_train45_47_val42_44,confirm50_all50,9,472611,both_success,1,1,1,1,2.0145084857940674
splitB_train45_47_val42_44,confirm50_all50,10,532318,both_fail,0,0,0,0,2.636857748031616
splitB_train45_47_val42_44,confirm50_all50,11,645504,both_fail,0,0,1,1,2.1297881603240967
splitB_train45_47_val42_44,confirm50_all50,12,829098,both_success,1,1,1,1,2.4877474308013916
splitB_train45_47_val42_44,confirm50_all50,13,867812,both_fail,0,0,0,0,1.9394290447235107
splitB_train45_47_val42_44,confirm50_all50,14,941648,both_fail,0,0,0,0,2.647623062133789
