split,stage,pool,candidate_auc_raw,candidate_auc_calibrated,raw_episodes,raw_episodes_with_success,raw_episodes_without_success,raw_first_success_rank_mean,raw_first_success_rank_median,raw_near_miss_failure_count,raw_top1_success_recall,raw_top3_success_recall,raw_top5_success_recall,raw_top10_success_recall,raw_top30_success_recall,cal_episodes,cal_episodes_with_success,cal_episodes_without_success,cal_first_success_rank_mean,cal_first_success_rank_median,cal_near_miss_failure_count,cal_top1_success_recall,cal_top3_success_recall,cal_top5_success_recall,cal_top10_success_recall,cal_top30_success_recall
splitA_train42_44_val45_47,val,bsl,0.6624893792847518,0.913750763523791,300,266,34,1.6428571428571428,1.0,20,82.0,84.33333333333334,85.66666666666667,86.66666666666667,88.66666666666667,300,266,34,1.5601503759398496,1.0,20,81.0,84.33333333333334,85.33333333333334,87.33333333333333,88.66666666666667
splitA_train42_44_val45_47,val,stateroll,0.4975002257445411,0.686763211402238,300,235,65,3.1617021276595745,1.0,70,55.00000000000001,63.33333333333333,67.33333333333333,72.0,78.33333333333333,300,235,65,2.876595744680851,1.0,70,54.666666666666664,64.33333333333333,68.0,74.0,78.33333333333333
splitA_train42_44_val45_47,val,union,0.6486730886715723,0.8531031993584884,300,285,15,3.863157894736842,1.0,39,75.66666666666667,82.33333333333334,84.0,86.0,90.33333333333333,300,285,15,3.575438596491228,1.0,39,81.66666666666667,85.33333333333334,86.33333333333333,88.33333333333333,89.66666666666666
splitB_train45_47_val42_44,val,bsl,0.5900077485447156,0.9329149792929683,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.6528301886792454,1.0,25,79.0,82.0,83.66666666666667,86.33333333333333,88.33333333333333
splitB_train45_47_val42_44,val,stateroll,0.4903915391952305,0.6886616043812159,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,3.157446808510638,1.0,68,54.0,62.33333333333333,67.0,72.0,78.33333333333333
splitB_train45_47_val42_44,val,union,0.612838432151077,0.857134937905437,300,283,17,4.717314487632509,1.0,43,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.4381625441696113,1.0,43,78.66666666666666,82.0,84.0,87.0,89.33333333333333
