method,scale,top1_success,oracle,success_density,near_miss_count
raw_moda,0.0,75.0,100.0,65.0,2
residual_calibrated_cost,0.5,75.0,100.0,65.0,2
residual_calibrated_cost,1.0,75.0,100.0,65.0,2
residual_raw_cost,0.5,75.0,100.0,65.0,2
residual_raw_cost,1.0,75.0,100.0,65.0,2
