split,method,threshold,fixed,harmed,switches
splitB_train45_47_val42_44,pairwise,0.991608,7,44,165
splitB_train45_47_val42_44,pairwise,1.060968,7,39,150
splitB_train45_47_val42_44,pairwise,1.106718,7,30,135
splitB_train45_47_val42_44,pairwise,1.149652,6,26,120
splitB_train45_47_val42_44,pairwise,1.209705,5,22,105
splitB_train45_47_val42_44,pairwise,1.249131,4,21,90
splitB_train45_47_val42_44,pairwise,1.28675,2,18,75
splitB_train45_47_val42_44,pairwise,1.339898,2,12,60
splitB_train45_47_val42_44,pairwise,1.40225,2,8,45
splitB_train45_47_val42_44,pairwise,1.469266,2,6,30
splitB_train45_47_val42_44,pairwise,1.577872,2,1,15
splitB_train45_47_val42_44,listwise,0.419497,0,2,15
splitB_train45_47_val42_44,listwise,0.319776,0,6,30
splitB_train45_47_val42_44,listwise,0.284965,0,9,45
splitB_train45_47_val42_44,listwise,0.23954,1,14,60
splitB_train45_47_val42_44,listwise,0.19852,2,18,75
splitB_train45_47_val42_44,listwise,0.174665,2,22,90
splitB_train45_47_val42_44,listwise,0.137459,3,28,105
splitB_train45_47_val42_44,listwise,0.113621,4,33,120
splitB_train45_47_val42_44,listwise,0.087612,5,38,135
splitB_train45_47_val42_44,listwise,0.054091,5,40,150
splitB_train45_47_val42_44,listwise,0.017987,5,45,165
splitB_train45_47_val42_44,listwise,-0.005812,7,50,180
splitB_train45_47_val42_44,listwise,-0.04019,8,55,195
splitB_train45_47_val42_44,listwise,-0.071785,8,61,210
splitB_train45_47_val42_44,listwise,-0.094499,8,64,225
splitB_train45_47_val42_44,listwise,-0.148163,9,73,240
splitB_train45_47_val42_44,listwise,-0.193179,10,76,255
splitB_train45_47_val42_44,listwise,-0.309047,10,81,270
splitB_train45_47_val42_44,listwise,-0.45179,10,88,285
splitB_train45_47_val42_44,listwise,-1.19842,11,95,299
splitB_train45_47_val42_44,combined,-4.688812,12,93,300
splitB_train45_47_val42_44,combined,-3.10597,12,85,285
splitB_train45_47_val42_44,combined,-2.830251,12,75,270
splitB_train45_47_val42_44,combined,-2.536952,12,70,255
splitB_train45_47_val42_44,combined,-2.367299,12,64,240
splitB_train45_47_val42_44,combined,-2.236803,11,58,225
splitB_train45_47_val42_44,combined,-2.069215,11,49,210
splitB_train45_47_val42_44,combined,-1.978635,11,42,195
splitB_train45_47_val42_44,combined,-1.913535,11,34,180
splitB_train45_47_val42_44,combined,-1.805497,11,31,165
splitB_train45_47_val42_44,combined,-1.677053,10,26,150
splitB_train45_47_val42_44,combined,-1.585242,10,23,135
splitB_train45_47_val42_44,combined,-1.515374,9,18,120
splitB_train45_47_val42_44,combined,-1.41918,9,13,105
splitB_train45_47_val42_44,combined,-1.315289,9,11,90
splitB_train45_47_val42_44,combined,-1.205704,9,8,75
splitB_train45_47_val42_44,combined,-1.096197,9,5,60
splitB_train45_47_val42_44,combined,-0.960729,9,2,45
splitB_train45_47_val42_44,combined,-0.590984,8,2,30
splitB_train45_47_val42_44,combined,-0.121678,6,0,15
