split,threshold,candidate_topk,fixed,harmed,net,switches,stateroll_only_recovered,bsl_top1,selector_top1,gate_selected,gate_rule,method,harmed_budget,w_bce,w_rank,w_raw
splitA_train42_44_val45_47,-3.628139,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,0,0.0,0.5,0.5
splitA_train42_44_val45_47,-3.628139,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,1,0.0,0.5,0.5
splitA_train42_44_val45_47,-3.628139,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,2,0.0,0.5,0.5
splitA_train42_44_val45_47,-3.628139,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,3,0.0,0.5,0.5
splitA_train42_44_val45_47,-3.65383,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,0,0.0,0.5,0.5
splitA_train42_44_val45_47,-3.65383,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,1,0.0,0.5,0.5
splitA_train42_44_val45_47,-3.65383,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,2,0.0,0.5,0.5
splitA_train42_44_val45_47,-3.65383,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,3,0.0,0.5,0.5
splitA_train42_44_val45_47,-3.665376,5,8,1,7,30,7,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,0,0.0,0.5,0.5
splitA_train42_44_val45_47,-3.665376,5,8,1,7,30,7,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,1,0.0,0.5,0.5
splitA_train42_44_val45_47,-3.665376,5,8,1,7,30,7,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,2,0.0,0.5,0.5
splitA_train42_44_val45_47,-3.665376,5,8,1,7,30,7,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,3,0.0,0.5,0.5
splitA_train42_44_val45_47,-2.596773,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,0,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.596773,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,1,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.596773,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,2,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.596773,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,3,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.67446,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,0,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.67446,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,1,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.67446,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,2,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.67446,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,3,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.702579,3,4,1,3,30,3,82.0,83.0,30,fp_le_3_max30,ensemble,0,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.702579,3,4,1,3,30,3,82.0,83.0,30,fp_le_3_max30,ensemble,1,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.702579,3,4,1,3,30,3,82.0,83.0,30,fp_le_3_max30,ensemble,2,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.702579,3,4,1,3,30,3,82.0,83.0,30,fp_le_3_max30,ensemble,3,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.775232,5,8,1,7,30,6,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,0,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.775232,5,8,1,7,30,6,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,1,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.775232,5,8,1,7,30,6,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,2,0.0,1.0,0.0
splitA_train42_44_val45_47,-2.775232,5,8,1,7,30,6,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,3,0.0,1.0,0.0
splitA_train42_44_val45_47,-4.884458,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,0,0.0,1.0,0.5
splitA_train42_44_val45_47,-4.884458,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,1,0.0,1.0,0.5
splitA_train42_44_val45_47,-4.884458,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,2,0.0,1.0,0.5
splitA_train42_44_val45_47,-4.884458,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,3,0.0,1.0,0.5
splitA_train42_44_val45_47,-4.936644,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,0,0.0,1.0,0.5
splitA_train42_44_val45_47,-4.936644,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,1,0.0,1.0,0.5
splitA_train42_44_val45_47,-4.936644,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,2,0.0,1.0,0.5
splitA_train42_44_val45_47,-4.936644,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,3,0.0,1.0,0.5
splitA_train42_44_val45_47,-4.991941,3,4,1,3,30,2,82.0,83.0,30,fp_le_3_max30,ensemble,0,0.0,1.0,0.5
splitA_train42_44_val45_47,-4.991941,3,4,1,3,30,2,82.0,83.0,30,fp_le_3_max30,ensemble,1,0.0,1.0,0.5
splitA_train42_44_val45_47,-4.991941,3,4,1,3,30,2,82.0,83.0,30,fp_le_3_max30,ensemble,2,0.0,1.0,0.5
splitA_train42_44_val45_47,-4.991941,3,4,1,3,30,2,82.0,83.0,30,fp_le_3_max30,ensemble,3,0.0,1.0,0.5
splitA_train42_44_val45_47,-5.009958,5,8,1,7,30,7,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,0,0.0,1.0,0.5
splitA_train42_44_val45_47,-5.009958,5,8,1,7,30,7,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,1,0.0,1.0,0.5
splitA_train42_44_val45_47,-5.009958,5,8,1,7,30,7,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,2,0.0,1.0,0.5
splitA_train42_44_val45_47,-5.009958,5,8,1,7,30,7,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,3,0.0,1.0,0.5
splitA_train42_44_val45_47,-0.928027,1,4,1,3,30,4,82.0,83.0,30,fp_le_3_max30,ensemble,0,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928027,1,4,1,3,30,4,82.0,83.0,30,fp_le_3_max30,ensemble,1,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928027,1,4,1,3,30,4,82.0,83.0,30,fp_le_3_max30,ensemble,2,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928027,1,4,1,3,30,4,82.0,83.0,30,fp_le_3_max30,ensemble,3,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928173,2,6,1,5,30,5,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,0,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928173,2,6,1,5,30,5,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,1,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928173,2,6,1,5,30,5,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,2,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928173,2,6,1,5,30,5,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,3,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928209,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,0,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928209,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,1,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928209,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,2,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928209,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,3,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928227,5,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,0,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928227,5,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,1,0.5,0.0,0.0
